filename,text,label
01468.png,,Offensive
01475.png,"last time muslims
invatled europe

=~ 2
A

vlad stuck poles up their
asses and, mate a fucking forest

ne like viad",Offensive
01436.png,"when the school ston
accidently shoots the autistic Kid
but doesnitknow that the tanto.

Strengthimakes him imperviousitom:
bullets",Offensive
01439.png,"tie

Peintongland strong",Negative
01472.png,"fs Lf
ercountries i am also free,towear it if i want to",Positive
01469.png,"when you punch the muslim kit so hard that he starts having
seizures and fucking dies =

SResiap hit

seen defused",Offensive
01456.png,,Offensive
01492.png,"Idontiihe the stm

iweara visof,",Negative
01487.png,,Offensive
01547.png,,Positive
01564.png,from Ramil rd,Offensive
01526.png,Ney intalvag now!that will be $0.15,Positive
01498.png,"democrats claimdacakids
shouldn't have to pay tor
their parent's crimes:.

..DUt white people are
Still responsible for 17th
century slave owners?",Negative
01568.png,"has or coli [d-infijtrate our
yaverment 299",Negative
01497.png,"now back toptie
islamic classieesss",Offensive
01529.png,,Positive
01569.png,WHEDON cantdeciie to Dralisat the oven,Positive
01524.png,"When you catch your
goat with another man",Negative
01548.png,"i) he aceitlentally to!
€) foo usetiithe lastot
ti) homie said ""i go",Positive
01576.png,,Negative
01578.png,,Offensive
01579.png,bacon anierica great again!,Negative
01598.png,"‘and hav

eno clue what youre mad ahourt

as",Positive
01627.png,"COOOU ee

e outiniiessun
Sturensigon

Stofjein)alcooltdank
Dlace fons days)",Offensive
01634.png,"aye tone! why would dey ne

ve E 4

edt

if dey was just gonna whack ‘em:",Negative
01637.png,"iiiis tie ests

VOUME MONG eK",Negative
01642.png,"it black neople could
reat",Offensive
01643.png,Mivishavowisiilack,Negative
01649.png,"they Graduatepolicelacalemy,

eo cons whenthe:

forth! let murder te tone upon him!",Offensive
01734.png,,Negative
01698.png,work ac aeRee myass,Offensive
01742.png,"irom I:

mc it

In ist one i

'
at",Positive
01736.png,"wie NO.oV c

Che-nocoverage",Negative
01658.png,,Offensive
01653.png,"AGitIASKSMerMmOneswliyjani i Ute

/

_ ,
she says, ""the waythatpaniyiwent, you're lucky ». hark.”",Negative
01682.png,"nd Yestthatsmork in th

quran",Offensive
01726.png,loads the qIShWaShenr every nignt,Positive
01694.png,,Offensive
01672.png,fits i| call of duty comes out,Positive
01765.png,"after a girl dies, what organinter body stays warm?",Offensive
01794.png,"ie Rehuldren

MUNN",Offensive
01823.png,"t0o.was once a male
trapped in.afemale's hotly",Negative
01749.png,"cannabis is dangerous and @A
pharmaceuticals are good for you",Negative
01756.png,,Positive
01746.png,,Positive
01793.png,"i'm only watering
_~ my muslims",Offensive
01796.png,,Offensive
